Time (day),Number of normal cells,Number of target cells,Number of infectious cells,Number of dead cells
0.000000,9998,0,2,0
0.100000,9998,0,2,0
0.200000,9992,6,2,0
0.300000,9992,6,2,0
0.400000,9992,0,8,0
0.500000,9982,10,8,0
0.600000,9982,10,8,0
0.700000,9982,0,18,0
0.800000,9968,14,18,0
0.900000,9968,14,18,0
1.000000,9968,0,32,0
1.100000,9954,14,31,1
1.200000,9952,16,30,2
1.300000,9951,3,43,3
1.400000,9938,14,43,5
1.500000,9933,18,42,7
1.600000,9930,8,53,9
1.700000,9917,16,56,11
1.800000,9909,21,57,13
1.900000,9906,11,68,15
2.000000,9892,17,73,18
2.100000,9886,20,73,21
2.200000,9882,10,84,24
2.300000,9866,20,86,28
2.400000,9859,23,86,32
2.500000,9853,13,98,36
2.600000,9843,16,101,40
2.700000,9841,12,103,44
2.800000,9834,9,108,49
2.900000,9823,18,105,54
3.000000,9818,16,107,59
3.100000,9811,12,113,64
3.200000,9801,17,113,69
3.300000,9797,14,115,74
3.400000,9784,17,121,78
3.500000,9775,22,120,83
3.600000,9771,13,128,88
3.700000,9759,16,131,94
3.800000,9748,23,129,100
3.900000,9736,23,135,106
4.000000,9731,17,141,111
4.100000,9719,17,147,117
4.200000,9706,25,145,124
4.300000,9701,18,151,130
4.400000,9694,12,157,137
4.500000,9683,18,155,144
4.600000,9663,31,155,151
4.700000,9659,24,159,158
4.800000,9653,10,172,165
4.900000,9633,26,168,173
5.000000,9620,33,167,180
5.100000,9615,18,181,186
5.200000,9604,16,186,194
5.300000,9590,25,183,202
5.400000,9583,21,186,210
5.500000,9571,19,192,218
5.600000,9561,22,191,226
5.700000,9553,18,195,234
5.800000,9539,22,198,241
5.900000,9534,19,198,249
6.000000,9524,15,203,258
6.100000,9510,24,199,267
6.200000,9495,29,201,275
6.300000,9489,21,207,283
6.400000,9479,16,214,291
6.500000,9467,22,210,301
6.600000,9450,29,210,311
6.700000,9436,31,213,320
6.800000,9428,22,222,328
6.900000,9413,23,226,338
7.000000,9409,19,224,348
7.100000,9399,14,229,358
7.200000,9389,20,222,369
7.300000,9379,20,222,379
7.400000,9366,23,222,389
7.500000,9358,21,222,399
7.600000,9351,15,225,409
7.700000,9340,18,223,419
7.800000,9323,28,220,429
7.900000,9316,24,222,438
8.000000,9302,21,230,447
8.100000,9294,22,226,458
8.200000,9274,28,230,468
8.300000,9260,34,228,478
8.400000,9247,27,238,488
8.500000,9237,23,242,498
8.600000,9223,24,244,509
8.700000,9205,32,243,520
8.800000,9189,34,246,531
8.900000,9182,23,254,541
9.000000,9169,20,258,553
9.100000,9152,30,254,564
9.200000,9145,24,256,575
9.300000,9132,20,261,587
9.400000,9115,30,257,598
9.500000,9105,27,258,610
9.600000,9096,19,263,622
9.700000,9085,20,261,634
9.800000,9073,23,258,646
9.900000,9061,24,259,656
10.000000,9046,27,259,668
10.100000,9034,27,259,680
10.200000,9027,19,262,692
10.300000,9008,26,262,704
10.400000,8995,32,257,716
10.500000,8985,23,264,728
10.600000,8970,25,265,740
10.700000,8953,32,263,752
10.800000,8920,50,266,764
10.900000,8913,40,272,775
11.000000,8905,15,294,786
11.100000,8890,23,287,800
11.200000,8875,30,283,812
11.300000,8866,24,285,825
11.400000,8853,22,287,838
11.500000,8840,26,283,851
11.600000,8824,29,283,864
11.700000,8813,27,283,877
11.800000,8799,25,286,890
11.900000,8783,30,284,903
12.000000,8772,27,285,916
12.100000,8763,20,289,928
12.200000,8748,24,288,940
12.300000,8735,28,284,953
12.400000,8712,36,286,966
12.500000,8695,40,286,979
12.600000,8681,31,296,992
12.700000,8667,28,301,1004
12.800000,8658,23,301,1018
12.900000,8649,18,301,1032
13.000000,8640,18,296,1046
13.100000,8621,28,291,1060
13.200000,8603,37,288,1072
13.300000,8586,35,294,1085
13.400000,8578,25,299,1098
13.500000,8555,31,302,1112
13.600000,8542,36,296,1126
13.700000,8531,24,306,1139
13.800000,8516,26,307,1151
13.900000,8500,31,304,1165
14.000000,8488,28,306,1178
14.100000,8471,29,308,1192
14.200000,8461,27,306,1206
14.300000,8442,29,309,1220
14.400000,8428,33,305,1234
14.500000,8413,29,312,1246
14.600000,8398,30,312,1260
14.700000,8375,38,314,1273
14.800000,8358,40,315,1287
14.900000,8337,38,324,1301
15.000000,8328,30,327,1315
15.100000,8315,22,333,1330
15.200000,8300,28,327,1345
15.300000,8281,34,325,1360
15.400000,8273,27,325,1375
15.500000,8263,18,330,1389
15.600000,8247,26,323,1404
15.700000,8232,31,318,1419
15.800000,8212,35,321,1432
15.900000,8196,36,322,1446
16.000000,8178,34,328,1460
16.100000,8159,37,330,1474
16.200000,8148,30,333,1489
16.300000,8138,21,337,1504
16.400000,8130,18,332,1520
16.500000,8111,27,326,1536
16.600000,8105,25,320,1550
16.700000,8082,29,324,1565
16.800000,8066,39,316,1579
16.900000,8057,25,326,1592
17.000000,8047,19,328,1606
17.100000,8041,16,322,1621
17.200000,8031,16,317,1636
17.300000,8009,32,308,1651
17.400000,7995,36,304,1665
17.500000,7973,36,312,1679
17.600000,7963,32,313,1692
17.700000,7949,24,322,1705
17.800000,7940,23,317,1720
17.900000,7926,23,317,1734
18.000000,7909,31,311,1749
18.100000,7895,31,311,1763
18.200000,7876,33,314,1777
18.300000,7868,27,315,1790
18.400000,7857,19,320,1804
18.500000,7833,35,313,1819
18.600000,7820,37,310,1833
18.700000,7809,24,321,1846
18.800000,7793,27,320,1860
18.900000,7778,31,316,1875
19.000000,7753,40,318,1889
19.100000,7743,35,319,1903
19.200000,7732,21,330,1917
19.300000,7694,49,326,1931
19.400000,7673,59,324,1944
19.500000,7662,32,348,1958
19.600000,7651,22,353,1974
19.700000,7635,27,348,1990
19.800000,7621,30,344,2005
19.900000,7605,30,344,2021
20.000000,7578,43,342,2037
20.100000,7572,33,344,2051
20.200000,7547,31,356,2066
20.300000,7531,41,346,2082
20.400000,7514,33,356,2097
20.500000,7492,39,357,2112
20.600000,7479,35,358,2128
20.700000,7461,31,364,2144
20.800000,7443,36,360,2161
20.900000,7422,39,362,2177
21.000000,7408,35,364,2193
21.100000,7398,24,370,2208
21.200000,7373,35,368,2224
21.300000,7358,40,361,2241
21.400000,7339,34,371,2256
21.500000,7318,40,369,2273
21.600000,7300,39,374,2287
21.700000,7289,29,379,2303
21.800000,7272,28,381,2319
21.900000,7252,37,375,2336
22.000000,7235,37,375,2353
22.100000,7213,39,379,2369
22.200000,7191,44,380,2385
22.300000,7182,31,385,2402
22.400000,7166,25,390,2419
22.500000,7146,36,381,2437
22.600000,7131,35,381,2453
22.700000,7107,39,384,2470
22.800000,7093,38,382,2487
22.900000,7079,28,390,2503
23.000000,7064,29,388,2519
23.100000,7049,30,384,2537
23.200000,7033,31,381,2555
23.300000,7022,27,379,2572
23.400000,7005,28,378,2589
23.500000,6991,31,373,2605
23.600000,6973,32,373,2622
23.700000,6964,27,370,2639
23.800000,6947,26,371,2656
23.900000,6935,29,364,2672
24.000000,6925,22,365,2688
24.100000,6919,16,360,2705
