Time (day),Number of normal cells,Number of target cells1,Number of infectious cells1,Number of target cells2,Number of infectious cells2,Number of dead cells
0.000000,9998,0,2,0,2,0
0.100000,9998,0,2,0,2,0
0.200000,9992,6,2,6,2,0
0.300000,9992,6,2,6,2,0
0.400000,9992,0,8,0,8,0
0.500000,9982,10,8,10,8,0
0.600000,9982,10,8,10,8,0
0.700000,9982,0,18,0,18,0
0.800000,9968,14,18,14,18,0
0.900000,9968,14,18,14,18,0
1.000000,9968,0,32,0,32,0
1.100000,9952,16,31,16,31,1
1.200000,9952,16,30,16,30,2
1.300000,9951,1,45,1,45,3
1.400000,9936,16,43,16,43,5
1.500000,9932,19,42,19,42,7
1.600000,9930,6,55,6,55,9
1.700000,9919,13,57,13,57,11
1.800000,9913,17,57,17,57,13
1.900000,9907,12,66,12,66,15
2.000000,9899,14,69,14,69,18
2.100000,9884,23,72,23,72,21
2.200000,9879,20,77,20,77,24
2.300000,9874,10,89,10,89,27
2.400000,9859,20,90,20,90,31
2.500000,9853,21,91,21,91,35
2.600000,9849,10,102,10,102,39
2.700000,9837,16,104,16,104,43
2.800000,9826,23,103,23,103,48
2.900000,9824,13,111,13,111,52
3.000000,9811,15,117,15,117,57
3.100000,9804,20,114,20,114,62
3.200000,9790,21,122,21,122,67
3.300000,9782,22,124,22,124,72
3.400000,9774,16,133,16,133,77
3.500000,9761,21,136,21,136,82
3.600000,9749,25,138,25,138,88
3.700000,9743,18,146,18,146,93
3.800000,9726,23,151,23,151,100
3.900000,9716,27,150,27,150,107
4.000000,9705,21,160,21,160,114
4.100000,9695,21,163,21,163,121
4.200000,9688,17,167,17,167,128
4.300000,9673,22,169,22,169,136
4.400000,9659,29,168,29,168,144
4.500000,9653,20,176,20,176,151
4.600000,9642,17,182,17,182,159
4.700000,9627,26,181,26,181,166
4.800000,9620,22,184,22,184,174
4.900000,9611,16,191,16,191,182
5.000000,9596,24,189,24,189,191
5.100000,9585,26,190,26,190,199
5.200000,9579,17,196,17,196,208
5.300000,9567,18,198,18,198,217
5.400000,9555,24,196,24,196,225
5.500000,9547,20,199,20,199,234
5.600000,9539,16,202,16,202,243
5.700000,9525,22,202,22,202,251
5.800000,9516,23,202,23,202,259
5.900000,9508,17,207,17,207,268
6.000000,9499,17,207,17,207,277
6.100000,9489,19,206,19,206,286
6.200000,9480,19,206,19,206,295
6.300000,9462,27,207,27,207,304
6.400000,9450,30,207,30,207,313
6.500000,9443,19,216,19,216,322
6.600000,9434,16,218,16,218,332
6.700000,9419,24,215,24,215,342
6.800000,9411,23,214,23,214,352
