Time (day),Number of normal cells,Number of target cells1,Number of infectious cells1,Number of target cells2,Number of infectious cells2,Number of dead cells caused by virus 1,Number of dead cells caused by virus 2
0.000000,9996,0,2,0,2,0,0
0.100000,9996,0,2,0,2,0,0
0.200000,9984,6,2,6,2,0,0
0.300000,9984,6,2,6,2,0,0
0.400000,9984,0,8,6,2,0,0
0.500000,9975,9,8,6,2,0,0
0.600000,9974,10,8,0,8,0,0
0.700000,9964,1,17,10,8,0,0
0.800000,9951,13,18,10,8,0,0
0.900000,9950,14,18,10,8,0,0
1.000000,9950,1,31,10,8,0,0
1.100000,9935,15,32,0,18,0,0
1.200000,9922,18,32,10,18,0,0
1.300000,9918,3,47,14,18,0,0
1.400000,9908,10,49,14,18,1,0
1.500000,9901,17,48,14,18,2,0
1.600000,9899,9,57,4,28,3,0
1.700000,9883,8,63,10,32,4,0
1.800000,9870,14,64,15,32,5,0
1.900000,9867,11,69,15,32,6,0
2.000000,9859,9,76,17,32,7,0
2.100000,9853,12,78,7,42,8,0
2.200000,9837,14,83,10,47,9,0
2.300000,9822,17,88,16,46,10,1
2.400000,9814,17,95,14,48,11,1
2.500000,9808,14,102,14,47,13,2
2.600000,9796,15,108,9,54,15,3
2.700000,9789,14,112,5,59,17,4
2.800000,9773,13,119,13,58,19,5
2.900000,9765,13,122,16,57,21,6
3.000000,9752,17,128,14,59,23,7
3.100000,9744,19,131,13,60,25,8
3.200000,9738,12,141,6,67,27,9
3.300000,9727,11,145,8,69,30,10
3.400000,9713,15,147,12,69,33,11
3.500000,9705,14,150,14,69,36,12
3.600000,9700,10,156,13,69,39,13
3.700000,9697,7,158,9,73,42,14
3.800000,9686,9,160,8,77,45,15
3.900000,9679,12,159,7,79,48,16
4.000000,9672,10,163,9,78,51,17
4.100000,9657,13,165,15,78,54,18
4.200000,9650,12,167,14,81,57,19
4.300000,9642,10,172,14,82,60,20
4.400000,9630,14,173,16,83,63,21
4.500000,9622,12,176,13,89,66,22
4.600000,9606,11,181,19,90,69,24
4.700000,9598,12,182,20,91,72,25
4.800000,9587,15,186,17,94,75,26
4.900000,9578,16,187,16,96,79,28
5.000000,9566,18,193,7,103,83,30
5.100000,9555,18,195,9,104,87,32
5.200000,9543,10,203,16,103,91,34
5.300000,9531,14,205,15,104,95,36
5.400000,9524,12,205,20,102,99,38
5.500000,9519,7,211,15,105,103,40
5.600000,9511,9,209,11,111,107,42
5.700000,9496,16,210,12,111,111,44
5.800000,9487,18,210,10,114,115,46
5.900000,9479,12,218,12,112,119,48
6.000000,9472,8,220,13,114,123,50
6.100000,9466,4,221,14,115,128,52
6.200000,9453,10,218,16,116,133,54
6.300000,9447,11,216,17,116,137,56
6.400000,9436,10,220,16,119,141,58
6.500000,9430,11,219,14,121,145,60
6.600000,9426,8,222,9,124,149,62
6.700000,9407,15,221,14,125,154,64
6.800000,9396,14,221,18,127,158,66
6.900000,9384,10,228,21,127,162,68
7.000000,9377,12,227,23,125,166,70
7.100000,9368,12,230,17,131,170,72
7.200000,9360,13,230,11,137,175,74
7.300000,9347,12,232,13,139,180,77
7.400000,9336,15,233,13,138,185,80
7.500000,9328,17,234,11,137,190,83
7.600000,9319,9,238,17,136,195,86
7.700000,9304,10,241,16,140,200,89
7.800000,9301,11,237,15,139,205,92
7.900000,9288,9,242,21,136,209,95
8.000000,9280,15,239,13,142,214,97
8.100000,9261,16,241,18,145,219,100
8.200000,9257,10,244,19,143,224,103
8.300000,9252,4,247,16,146,229,106
8.400000,9243,9,244,18,143,234,109
8.500000,9231,16,241,10,151,239,112
8.600000,9228,12,243,8,150,244,115
8.700000,9206,20,247,10,150,249,118
8.800000,9185,26,245,20,149,254,121
8.900000,9177,15,259,19,149,257,124
9.000000,9171,11,263,20,146,262,127
9.100000,9158,16,264,17,148,267,130
9.200000,9143,22,264,9,157,272,133
9.300000,9136,12,270,13,156,277,136
9.400000,9125,8,275,16,154,283,139
9.500000,9111,15,272,20,153,287,142
9.600000,9102,14,274,19,154,292,145
9.700000,9089,18,277,14,157,297,148
9.800000,9082,13,277,16,158,303,151
9.900000,9069,11,283,13,161,309,154
10.000000,9060,13,278,16,161,315,157
10.100000,9053,6,282,19,159,321,160
10.200000,9037,11,279,21,162,327,163
10.300000,9025,16,276,22,162,333,166
10.400000,9017,15,279,17,165,338,169
10.500000,9007,15,281,15,166,344,172
10.600000,9001,10,282,11,171,350,175
10.700000,8996,3,284,11,172,356,178
10.800000,8976,12,280,19,169,362,182
10.900000,8967,15,275,22,168,368,185
11.000000,8954,13,281,22,169,373,188
11.100000,8942,20,279,19,170,379,191
11.200000,8925,25,283,13,176,384,194
11.300000,8909,22,289,16,178,389,197
11.400000,8898,15,297,16,179,395,200
11.500000,8886,15,299,19,177,401,203
