Time (day),Number of normal cells,Number of target cells,Number of infectious cells,Number of dead cells
0.000000,9998,0,2,0
0.100000,9998,0,2,0
0.200000,9992,6,2,0
0.300000,9992,6,2,0
0.400000,9992,6,2,0
0.500000,9992,6,2,0
0.600000,9992,0,8,0
0.700000,9982,10,8,0
0.800000,9982,10,8,0
0.900000,9982,10,8,0
1.000000,9982,10,8,0
1.100000,9982,0,18,0
1.200000,9968,14,18,0
1.300000,9968,14,18,0
1.400000,9968,14,18,0
1.500000,9968,14,18,0
1.600000,9968,0,32,0
1.700000,9950,18,31,1
1.800000,9950,18,30,2
1.900000,9950,18,29,3
2.000000,9950,18,28,4
2.100000,9950,0,45,5
2.200000,9929,21,43,7
2.300000,9929,21,41,9
2.400000,9929,21,40,10
2.500000,9929,21,39,11
2.600000,9929,0,59,12
2.700000,9903,26,57,14
2.800000,9903,26,55,16
2.900000,9903,26,53,18
3.000000,9903,26,51,20
3.100000,9903,0,75,22
3.200000,9873,30,72,25
3.300000,9873,30,69,28
3.400000,9873,30,66,31
3.500000,9873,30,64,33
3.600000,9873,0,91,36
3.700000,9840,33,87,40
3.800000,9840,33,83,44
3.900000,9840,33,80,47
4.000000,9840,33,77,50
4.100000,9840,0,107,53
4.200000,9803,37,102,58
4.300000,9803,37,98,62
4.400000,9803,37,94,66
4.500000,9803,37,90,70
4.600000,9803,0,123,74
4.700000,9761,42,117,80
4.800000,9761,42,112,85
4.900000,9761,42,107,90
5.000000,9761,42,103,94
5.100000,9761,0,141,98
5.200000,9716,45,134,105
5.300000,9716,45,128,111
5.400000,9716,45,123,116
5.500000,9716,45,118,121
5.600000,9716,0,158,126
5.700000,9666,50,151,133
5.800000,9666,50,145,139
5.900000,9666,50,139,145
6.000000,9666,50,133,151
6.100000,9666,0,178,156
6.200000,9614,52,170,164
6.300000,9613,53,163,171
6.400000,9613,53,156,178
6.500000,9613,53,149,185
6.600000,9613,1,195,191
6.700000,9557,56,187,200
6.800000,9556,57,179,208
6.900000,9556,57,172,215
7.000000,9556,57,165,222
7.100000,9556,1,214,229
7.200000,9497,59,205,239
7.300000,9496,60,196,248
7.400000,9495,61,188,256
7.500000,9495,61,180,264
7.600000,9495,2,231,272
7.700000,9432,64,221,283
7.800000,9431,64,213,292
7.900000,9430,65,205,300
8.000000,9430,65,197,308
8.100000,9430,2,252,316
8.200000,9361,70,242,327
8.300000,9360,70,233,337
8.400000,9359,71,223,347
8.500000,9359,71,214,356
8.600000,9359,2,274,365
8.700000,9288,72,262,378
8.800000,9287,72,252,389
8.900000,9286,73,241,400
9.000000,9286,73,231,410
9.100000,9286,2,292,420
9.200000,9211,76,281,432
9.300000,9210,76,270,444
9.400000,9208,78,259,455
9.500000,9208,78,248,466
9.600000,9208,3,313,476
9.700000,9130,80,299,491
9.800000,9127,81,288,504
9.900000,9125,83,276,516
10.000000,9125,83,265,527
10.100000,9125,5,332,538
10.200000,9045,82,320,553
10.300000,9041,84,309,566
10.400000,9039,86,296,579
10.500000,9039,86,284,591
10.600000,9039,6,352,603
10.700000,8955,86,340,619
10.800000,8951,88,329,632
10.900000,8949,90,316,645
11.000000,8949,90,303,658
11.100000,8949,6,375,670
11.200000,8862,89,363,686
11.300000,8857,92,350,701
11.400000,8855,94,337,714
11.500000,8855,94,323,728
11.600000,8855,7,397,741
11.700000,8769,88,384,759
11.800000,8759,96,370,775
11.900000,8757,98,355,790
12.000000,8757,98,341,804
12.100000,8757,12,413,818
12.200000,8677,82,404,837
12.300000,8658,99,390,853
12.400000,8655,102,375,868
12.500000,8655,102,362,881
12.600000,8655,22,427,896
12.700000,8570,88,426,916
12.800000,8554,101,412,933
12.900000,8550,105,395,950
13.000000,8550,105,379,966
13.100000,8550,20,451,979
13.200000,8461,93,447,999
13.300000,8444,106,432,1018
13.400000,8442,108,415,1035
13.500000,8441,109,398,1052
13.600000,8441,20,471,1068
13.700000,8352,92,468,1088
13.800000,8331,111,451,1107
13.900000,8328,113,434,1125
14.000000,8327,114,417,1142
14.100000,8327,25,489,1159
14.200000,8235,96,487,1182
14.300000,8215,113,470,1202
14.400000,8211,116,452,1221
14.500000,8209,118,435,1238
14.600000,8209,26,510,1255
14.700000,8116,99,506,1279
14.800000,8098,113,489,1300
14.900000,8091,118,472,1319
15.000000,8089,120,453,1338
15.100000,8089,27,528,1356
15.200000,8003,95,521,1381
15.300000,7974,117,506,1403
15.400000,7966,123,489,1422
15.500000,7963,126,470,1441
15.600000,7963,40,539,1458
15.700000,7877,97,544,1482
15.800000,7846,120,530,1504
15.900000,7836,127,512,1525
16.000000,7833,130,492,1545
16.100000,7832,45,559,1564
16.200000,7744,102,565,1589
16.300000,7720,116,552,1612
16.400000,7704,129,533,1634
16.500000,7700,132,514,1654
16.600000,7699,45,582,1674
16.700000,7618,102,579,1701
16.800000,7582,122,572,1724
16.900000,7567,133,553,1747
17.000000,7563,136,533,1768
17.100000,7561,57,594,1788
17.200000,7482,100,604,1814
17.300000,7444,123,595,1838
17.400000,7426,137,576,1861
17.500000,7421,140,556,1883
17.600000,7419,63,615,1903
17.700000,7346,98,628,1928
17.800000,7312,114,620,1954
17.900000,7290,131,600,1979
18.000000,7276,143,579,2002
18.100000,7274,72,630,2024
18.200000,7192,120,638,2050
18.300000,7166,124,635,2075
18.400000,7144,132,625,2099
18.500000,7131,143,604,2122
18.600000,7126,66,663,2145
18.700000,7044,122,660,2174
18.800000,7018,126,656,2200
18.900000,6991,140,643,2226
19.000000,6980,146,624,2250
19.100000,6975,69,683,2273
19.200000,6894,124,681,2301
19.300000,6862,129,682,2327
19.400000,6836,144,666,2354
19.500000,6823,152,646,2379
19.600000,6818,76,703,2403
19.700000,6740,122,707,2431
19.800000,6702,134,707,2457
19.900000,6675,148,693,2484
20.000000,6666,152,673,2509
20.100000,6660,80,726,2534
20.200000,6581,121,735,2563
20.300000,6541,134,734,2591
20.400000,6510,156,716,2618
20.500000,6505,155,697,2643
20.600000,6498,83,750,2669
20.700000,6421,120,758,2701
20.800000,6377,133,759,2731
20.900000,6340,165,735,2760
21.000000,6334,164,716,2786
21.100000,6328,93,767,2812
21.200000,6256,121,779,2844
21.300000,6215,125,785,2875
21.400000,6179,155,761,2905
21.500000,6164,164,740,2932
21.600000,6156,100,785,2959
21.700000,6096,119,794,2991
21.800000,6043,136,798,3023
21.900000,6007,157,783,3053
22.000000,5990,166,763,3081
22.100000,5981,115,796,3108
22.200000,5927,116,817,3140
22.300000,5878,129,820,3173
22.400000,5839,151,806,3204
22.500000,5810,171,786,3233
22.600000,5802,125,813,3260
22.700000,5750,128,831,3291
22.800000,5704,135,837,3324
22.900000,5658,152,836,3354
23.000000,5631,171,814,3384
23.100000,5620,130,837,3413
23.200000,5565,139,850,3446
23.300000,5521,137,863,3479
23.400000,5474,157,859,3510
23.500000,5447,173,838,3542
23.600000,5436,129,863,3572
23.700000,5382,139,877,3602
23.800000,5338,136,890,3636
23.900000,5293,154,885,3668
24.000000,5261,175,863,3701
24.100000,5245,137,887,3731
