Time (day),Number of normal cells,Number of target cells1,Number of infectious cells1,Number of target cells2,Number of infectious cells2,Number of dead cells caused by virus 1,Number of dead cells caused by virus 2
0.000000,9996,0,2,0,2,0,0
0.100000,9996,0,2,0,2,0,0
0.200000,9984,6,2,6,2,0,0
0.300000,9984,6,2,6,2,0,0
0.400000,9984,0,8,6,2,0,0
0.500000,9974,10,8,6,2,0,0
0.600000,9974,10,8,0,8,0,0
0.700000,9964,0,18,10,8,0,0
0.800000,9950,14,18,10,8,0,0
0.900000,9950,14,18,10,8,0,0
1.000000,9950,0,32,10,8,0,0
1.100000,9932,18,32,0,18,0,0
1.200000,9918,18,32,14,18,0,0
1.300000,9918,0,50,14,18,0,0
1.400000,9896,22,49,14,18,1,0
1.500000,9896,22,48,14,18,2,0
1.600000,9896,0,69,0,32,3,0
1.700000,9854,24,68,18,32,4,0
1.800000,9854,24,67,18,32,5,0
1.900000,9854,0,90,18,32,6,0
2.000000,9827,27,88,18,32,8,0
2.100000,9827,27,87,0,50,9,0
2.200000,9809,0,113,18,49,10,1
2.300000,9780,29,111,18,48,12,2
2.400000,9780,29,109,18,48,14,2
2.500000,9780,0,136,18,48,16,2
2.600000,9748,32,133,0,65,19,3
2.700000,9728,32,131,20,64,21,4
2.800000,9728,0,161,20,63,23,5
2.900000,9695,33,158,20,62,26,6
3.000000,9695,33,155,20,61,29,7
3.100000,9695,0,185,0,80,32,8
3.200000,9637,38,181,20,78,36,10
3.300000,9637,38,178,20,77,39,11
3.400000,9637,0,213,20,76,42,12
3.500000,9599,38,209,20,75,46,13
3.600000,9597,40,205,0,94,50,14
3.700000,9575,2,239,22,93,54,15
3.800000,9537,38,236,22,91,59,17
3.900000,9534,41,232,22,90,63,18
4.000000,9533,4,266,22,89,67,19
4.100000,9495,39,264,0,110,72,20
4.200000,9470,41,260,22,108,77,22
4.300000,9467,5,294,23,106,81,24
4.400000,9427,42,291,23,104,87,26
4.500000,9423,44,288,23,103,92,27
4.600000,9422,5,323,1,124,97,28
4.700000,9354,44,320,25,122,104,31
4.800000,9349,47,316,26,120,109,33
4.900000,9347,6,354,26,118,114,35
5.000000,9301,48,351,26,116,121,37
5.100000,9297,50,347,1,139,127,39
5.200000,9270,6,387,25,138,133,41
5.300000,9226,45,383,26,135,141,44
5.400000,9219,50,379,26,133,147,46
5.500000,9216,10,416,26,131,153,48
5.600000,9174,45,415,1,154,161,50
5.700000,9138,51,412,27,152,167,53
5.800000,9133,14,447,27,150,174,55
5.900000,9094,43,447,28,147,183,58
6.000000,9085,47,445,28,145,190,60
6.100000,9077,17,476,1,170,197,62
6.200000,9020,40,474,26,167,208,65
6.300000,8999,49,474,29,165,216,68
6.400000,8991,24,498,30,163,224,70
6.500000,8960,38,506,30,160,233,73
6.600000,8942,49,504,5,183,242,75
6.700000,8908,28,527,25,184,250,78
6.800000,8876,37,535,29,182,260,81
6.900000,8853,49,536,30,179,269,84
7.000000,8840,35,554,30,176,278,87
7.100000,8820,33,566,6,197,288,90
7.200000,8769,47,568,25,198,299,94
7.300000,8750,40,578,30,196,309,97
7.400000,8725,36,595,32,193,319,100
7.500000,8702,46,598,32,190,329,103
7.600000,8684,41,611,8,211,339,106
7.700000,8644,37,622,23,213,351,110
7.800000,8612,43,629,29,211,362,114
7.900000,8584,47,637,34,208,373,117
8.000000,8568,39,651,34,205,383,120
8.100000,8547,37,663,13,223,394,123
8.200000,8505,47,666,21,227,407,127
8.300000,8475,42,675,30,228,419,131
8.400000,8445,40,689,36,224,431,135
8.500000,8424,45,694,36,221,442,138
8.600000,8407,38,708,20,234,452,141
8.700000,8362,43,716,25,244,465,145
8.800000,8328,50,720,29,246,478,149
8.900000,8299,46,735,36,242,489,153
9.000000,8281,40,747,36,238,501,157
9.100000,8258,41,758,17,253,512,161
9.200000,8214,50,762,24,259,526,165
9.300000,8183,45,772,30,262,539,169
9.400000,8143,53,786,35,258,552,173
9.500000,8112,66,792,35,254,564,177
9.600000,8096,46,816,19,268,575,180
9.700000,8066,34,832,17,277,590,184
9.800000,8021,47,831,29,277,606,189
9.900000,7992,51,836,35,273,620,193
10.000000,7970,44,851,35,270,633,197
10.100000,7938,53,860,24,277,647,201
10.200000,7902,59,867,16,290,661,205
10.300000,7869,44,884,26,291,676,210
10.400000,7830,47,896,34,288,691,214
10.500000,7802,57,898,35,284,706,218
10.600000,7773,55,914,27,289,720,222
10.700000,7736,55,926,21,301,735,226
10.800000,7697,50,939,28,305,750,231
10.900000,7661,51,950,35,301,766,236
11.000000,7633,54,958,36,298,781,240
11.100000,7607,52,971,26,304,796,244
11.200000,7569,55,981,19,315,812,249
11.300000,7525,59,991,25,318,828,254
11.400000,7490,54,1004,34,315,844,259
11.500000,7450,63,1018,35,310,860,264
