Effectiveness,Number of normal cells,Number of target cells,Number of infectious cells,Number of dead cells
0.000000,6,1,246,9747
0.010000,9,1,246,9744
0.020000,3,2,238,9757
0.030000,5,4,250,9741
0.040000,7,3,242,9748
0.050000,4,2,252,9742
0.060000,4,3,237,9756
0.070000,5,1,243,9751
0.080000,4,4,248,9744
0.090000,8,1,245,9746
0.100000,11,6,252,9731
0.110000,3,5,247,9745
0.120000,5,3,246,9746
0.130000,6,4,251,9739
0.140000,1229,82,646,8043
0.150000,1208,69,660,8063
0.160000,1225,66,655,8054
0.170000,1236,77,653,8034
0.180000,1223,78,656,8043
0.190000,1220,77,662,8041
0.200000,1232,62,673,8033
0.210000,1243,72,664,8021
0.220000,1247,68,658,8027
0.230000,1234,66,679,8021
0.240000,1241,65,677,8017
0.250000,1238,68,673,8021
0.260000,1251,60,668,8021
0.270000,1260,79,665,7996
0.280000,1237,72,681,8010
0.290000,1252,67,679,8002
0.300000,1265,63,684,7988
0.310000,1249,57,699,7995
0.320000,1242,80,683,7995
0.330000,1224,76,683,8017
0.340000,1229,88,679,8004
0.350000,1247,81,677,7995
0.360000,1242,88,669,8001
0.370000,1243,86,683,7988
0.380000,1249,80,683,7988
0.390000,1237,78,692,7993
0.400000,1248,82,693,7977
0.410000,1256,71,702,7971
0.420000,1254,74,693,7979
0.430000,1231,83,698,7988
0.440000,1250,75,699,7976
0.450000,3073,146,836,5945
0.460000,3070,150,832,5948
0.470000,3070,151,828,5951
0.480000,3080,140,843,5937
0.490000,3070,141,845,5944
0.500000,3081,140,843,5936
0.510000,3072,137,841,5950
0.520000,3079,139,859,5923
0.530000,3089,139,843,5929
0.540000,3111,126,848,5915
0.550000,3085,138,843,5934
0.560000,3105,133,854,5908
0.570000,3093,124,864,5919
0.580000,4861,185,714,4240
0.590000,4864,187,710,4239
0.600000,4852,192,725,4231
0.610000,4836,186,733,4245
0.620000,4845,195,727,4233
0.630000,4835,194,729,4242
0.640000,4854,187,737,4222
0.650000,6139,172,531,3158
0.660000,6165,174,526,3135
0.670000,6156,174,531,3139
0.680000,6159,174,538,3129
0.690000,6979,152,448,2421
0.700000,9992,6,2,0
0.710000,9992,6,2,0
0.720000,9992,6,2,0
0.730000,9992,6,2,0
0.740000,9992,6,2,0
0.750000,9992,6,2,0
0.760000,9992,6,2,0
0.770000,9992,6,2,0
0.780000,9992,6,2,0
0.790000,9992,6,2,0
0.800000,9992,6,2,0
0.810000,9992,6,2,0
0.820000,9992,6,2,0
0.830000,9992,6,2,0
0.840000,9992,6,2,0
0.850000,9992,6,2,0
0.860000,9992,6,2,0
0.870000,9992,6,2,0
0.880000,9992,6,2,0
0.890000,9992,6,2,0
0.900000,9992,6,2,0
0.910000,9992,6,2,0
0.920000,9992,6,2,0
0.930000,9992,6,2,0
0.940000,9992,6,2,0
0.950000,9992,6,2,0
0.960000,9992,6,2,0
0.970000,9992,6,2,0
0.980000,9992,6,2,0
0.990000,9992,6,2,0
