Effectiveness,Number of normal cells,Number of target cells,Number of infectious cells,Number of dead cells
0.000000,6221,24,310,3445
0.010000,6316,29,305,3350
0.020000,6488,35,311,3166
0.030000,6486,28,320,3166
0.040000,6483,27,329,3161
0.050000,6306,26,325,3343
0.060000,6197,27,341,3435
0.070000,6419,30,330,3221
0.080000,6493,25,313,3169
0.090000,6283,30,324,3363
0.100000,6464,31,301,3204
0.110000,6453,31,296,3220
0.120000,6381,40,335,3244
0.130000,6336,25,312,3327
0.140000,6947,40,279,2734
0.150000,6804,38,298,2860
0.160000,6935,28,279,2758
0.170000,6965,37,277,2721
0.180000,6876,36,282,2806
0.190000,6886,38,297,2779
0.200000,6970,42,283,2705
0.210000,6675,43,331,2951
0.220000,6860,36,302,2802
0.230000,6911,41,307,2741
0.240000,6856,42,319,2783
0.250000,6909,43,273,2775
0.260000,6808,49,313,2830
0.270000,6824,45,305,2826
0.280000,6766,45,302,2887
0.290000,6728,48,330,2894
0.300000,6735,31,325,2909
0.310000,6563,54,342,3041
0.320000,6773,45,297,2885
0.330000,6884,44,323,2749
0.340000,6891,37,287,2785
0.350000,6715,58,314,2913
0.360000,6803,28,314,2855
0.370000,6835,33,302,2830
0.380000,6905,56,298,2741
0.390000,6781,47,285,2887
0.400000,6794,51,309,2846
0.410000,6892,56,321,2731
0.420000,6840,39,293,2828
0.430000,6776,23,302,2899
0.440000,6749,49,313,2889
0.450000,7239,48,256,2457
0.460000,7397,45,251,2307
0.470000,7348,50,258,2344
0.480000,7260,42,274,2424
0.490000,7423,44,232,2301
0.500000,7112,47,294,2547
0.510000,7290,55,274,2381
0.520000,7283,53,275,2389
0.530000,7247,69,293,2391
0.540000,7273,46,272,2409
0.550000,7189,56,291,2464
0.560000,7242,36,290,2432
0.570000,7224,68,279,2429
0.580000,7592,62,272,2074
0.590000,7556,57,265,2122
0.600000,7646,63,240,2051
0.610000,7542,56,263,2139
0.620000,7611,55,223,2111
0.630000,7597,59,250,2094
0.640000,7633,57,256,2054
0.650000,7879,67,224,1830
0.660000,7892,71,230,1807
0.670000,7845,81,251,1823
0.680000,7852,66,237,1845
0.690000,8161,52,225,1562
0.700000,9992,6,2,0
0.710000,9992,6,2,0
0.720000,9992,6,2,0
0.730000,9992,6,2,0
0.740000,9992,6,2,0
0.750000,9992,6,2,0
0.760000,9992,6,2,0
0.770000,9992,6,2,0
0.780000,9992,6,2,0
0.790000,9992,6,2,0
0.800000,9992,6,2,0
0.810000,9992,6,2,0
0.820000,9992,6,2,0
0.830000,9992,6,2,0
0.840000,9992,6,2,0
0.850000,9992,6,2,0
0.860000,9992,6,2,0
0.870000,9992,6,2,0
0.880000,9992,6,2,0
0.890000,9992,6,2,0
0.900000,9992,6,2,0
0.910000,9992,6,2,0
0.920000,9992,6,2,0
0.930000,9992,6,2,0
0.940000,9992,6,2,0
0.950000,9992,6,2,0
0.960000,9992,6,2,0
0.970000,9992,6,2,0
0.980000,9992,6,2,0
0.990000,9992,6,2,0
