Effectiveness,Number of normal cells,Number of target cells,Number of infectious cells,Number of dead cells
0.000000,8642,8,138,1212
0.010000,8161,5,249,1585
0.020000,8377,13,117,1493
0.030000,8436,7,144,1413
0.040000,7803,32,250,1915
0.050000,8081,10,124,1785
0.060000,7306,10,208,2476
0.070000,8263,11,135,1591
0.080000,8488,12,115,1385
0.090000,8411,9,87,1493
0.100000,7435,8,266,2291
0.110000,6926,33,280,2761
0.120000,7369,21,147,2463
0.130000,6860,30,327,2783
0.140000,7650,14,176,2160
0.150000,8073,29,180,1718
0.160000,7589,8,251,2152
0.170000,7486,23,167,2324
0.180000,8344,9,132,1515
0.190000,8441,8,163,1388
0.200000,7479,14,134,2373
0.210000,7203,12,263,2522
0.220000,6675,27,301,2997
0.230000,6938,9,267,2786
0.240000,7795,6,163,2036
0.250000,7517,12,203,2268
0.260000,7872,16,149,1963
0.270000,7347,33,269,2351
0.280000,7127,23,276,2574
0.290000,7343,23,160,2474
0.300000,7483,11,172,2334
0.310000,7750,24,186,2040
0.320000,7670,35,235,2060
0.330000,7882,21,198,1899
0.340000,8035,6,240,1719
0.350000,7449,24,174,2353
0.360000,7619,51,354,1976
0.370000,6225,39,447,3289
0.380000,6322,12,151,3515
0.390000,7476,29,172,2323
0.400000,7011,22,283,2684
0.410000,7206,16,185,2593
0.420000,8078,25,230,1667
0.430000,7194,35,206,2565
0.440000,6846,37,326,2791
0.450000,7057,40,252,2651
0.460000,8042,36,296,1626
0.470000,7035,11,288,2666
0.480000,7181,36,266,2517
0.490000,7966,16,137,1881
0.500000,7116,13,274,2597
0.510000,6960,25,337,2678
0.520000,7464,35,256,2245
0.530000,7992,26,146,1836
0.540000,7194,38,304,2464
0.550000,7734,5,140,2121
0.560000,8497,14,145,1344
0.570000,8353,12,139,1496
0.580000,8380,13,124,1483
0.590000,7575,25,168,2232
0.600000,6997,13,178,2812
0.610000,7117,14,210,2659
0.620000,7327,4,244,2425
0.630000,8101,11,222,1666
0.640000,7415,16,231,2338
0.650000,7296,11,191,2502
0.660000,7493,23,188,2296
0.670000,7322,22,287,2369
0.680000,8445,27,234,1294
0.690000,7166,44,205,2585
0.700000,6817,6,253,2924
0.710000,6762,36,302,2900
0.720000,8098,8,137,1757
0.730000,8143,10,154,1693
0.740000,7856,14,154,1976
0.750000,8435,7,124,1434
0.760000,8581,10,126,1283
0.770000,8599,13,129,1259
0.780000,6967,11,333,2689
0.790000,7672,27,320,1981
0.800000,7393,11,174,2422
0.810000,7848,30,236,1886
0.820000,7671,10,207,2112
0.830000,7844,17,161,1978
0.840000,7285,35,335,2345
0.850000,7604,17,182,2197
0.860000,7087,36,245,2632
0.870000,7623,36,253,2088
0.880000,7180,18,186,2616
0.890000,6963,13,200,2824
0.900000,7537,11,198,2254
0.910000,8262,24,196,1518
0.920000,7272,9,223,2496
0.930000,6893,43,309,2755
0.940000,7079,23,233,2665
0.950000,7342,36,207,2415
0.960000,8118,20,201,1661
0.970000,8048,7,130,1815
0.980000,7470,38,289,2203
0.990000,6371,38,335,3256
